  place,date,   HumidMean,   HumidMax,   HumidMin
  Hupsel,20160724,   89,  100,   63
  Hupsel,20160725,   86,  100,   70
  Hupsel,20160726,   76,  100,   49
  Hupsel,20160727,   82,  100,   57
  Hupsel,20160728,   88,  100,   73
  Hupsel,20160729,   83,   98,   63
  Hupsel,20160730,   94,  100,   84
  Hupsel,20160731,   86,  100,   66
  Hupsel,20160801,   88,  100,   70
  Hupsel,20160802,   95,  100,   86
  Hupsel,20160803,   97,  100,   92
  Hupsel,20160804,   85,   99,   68
  Hupsel,20160805,   84,   98,   65
  Hupsel,20160806,   89,   99,   71
  Hupsel,20160807,   80,   99,   61
  Hupsel,20160808,   77,   89,   50
  Hupsel,20160809,   79,   97,   53
  Hupsel,20160810,   82,   99,   55
  Hupsel,20160811,   94,  100,   81
  Hupsel,20160812,   90,  100,   74
  Hupsel,20160813,   87,  100,   69
  Hupsel,20160814,   83,  100,   60
  Hupsel,20160815,   81,  100,   57
  Hupsel,20160816,   78,   98,   60
  Hupsel,20160817,   72,  100,   44
  Hupsel,20160818,   71,  100,   42
  Hupsel,20160819,   80,  100,   44
  Hupsel,20160820,   75,   94,   44
  Hupsel,20160821,   88,   98,   77
  Hupsel,20160822,   93,  100,   81
  Hupsel,20160823,   74,  100,   39
  Hupsel,20160824,   75,   96,   44
  Hupsel,20160825,   71,   99,   38
  Hupsel,20160826,   76,   92,   62
  Hupsel,20160827,   79,   99,   62
  Hupsel,20160828,   76,   96,   60
  Hupsel,20160829,   83,  100,   64
  Hupsel,20160830,   80,  100,   46
  Hupsel,20160831,   74,   98,   43
  Hupsel,20160901,   90,   99,   67
  Hupsel,20160902,   80,  100,   50
  Hupsel,20160903,   84,   99,   65
  Hupsel,20160904,   83,   94,   64
  Hupsel,20160905,   86,  100,   65
  Hupsel,20160906,   83,  100,   53
  Hupsel,20160907,   75,  100,   45
  Hupsel,20160908,   75,  100,   51
  Hupsel,20160909,   89,  100,   63
  Hupsel,20160910,   79,  100,   49
  Hupsel,20160911,   87,   99,   75
  Hupsel,20160912,   76,   99,   42
  Hupsel,20160913,   74,  100,   44
  Hupsel,20160914,   66,   89,   37
  Hupsel,20160915,   63,   92,   40
  Hupsel,20160916,   85,  100,   63
  Hupsel,20160917,   89,  100,   74
  Hupsel,20160918,   83,   98,   63
  Hupsel,20160919,   82,  100,   61
  Hupsel,20160920,   82,  100,   61
  Hupsel,20160921,   72,   99,   42
  Hupsel,20160922,   82,  100,   51
  Hupsel,20160923,   85,  100,   53
  Hupsel,20160924,   75,   99,   48
  Hupsel,20160925,   72,   96,   44
  Hupsel,20160926,   82,  100,   48
  Hupsel,20160927,   78,  100,   50
  Hupsel,20160928,   64,   81,   53
  Hupsel,20160929,   80,   96,   70
  Hupsel,20160930,   81,   98,   52
  Hupsel,20161001,   86,   97,   70
  Hupsel,20161002,   90,   97,   70
  Hupsel,20161003,   89,  100,   63
  Hupsel,20161004,   79,   98,   58
  Hupsel,20161005,   75,   91,   52
  Hupsel,20161006,   82,   91,   74
  Hupsel,20161007,   83,   91,   69
  Hupsel,20161008,   81,  100,   46
  Hupsel,20161009,   88,  100,   66
  Hupsel,20161010,   89,  100,   57
  Hupsel,20161011,   96,  100,   87
  Hupsel,20161012,   86,   93,   77
  Hupsel,20161013,   82,   90,   71
  Hupsel,20161014,   78,   88,   63
  Hupsel,20161015,   95,  100,   86
  Hupsel,20161016,   82,   99,   53
  Hupsel,20161017,   92,  100,   77
  Hupsel,20161018,   93,  100,   74
  Hupsel,20161019,   94,  100,   88
  Hupsel,20161020,   96,  100,   86
  Hupsel,20161021,   97,   99,   90
  Hupsel,20161022,   91,   99,   71
  Hupsel,20161023,   92,  100,   65
  Hupsel,20161024,   96,  100,   90
  Hupsel,20161025,   97,  100,   92
  Hupsel,20161026,   89,   99,   69
  Hupsel,20161027,   94,  100,   85
  Hupsel,20161028,   95,  100,   89
  Hupsel,20161029,   90,  100,   66
